Kanda/Books,Sarga/Chapters,Shloka/Verse,English_translation
Bala,5,10,"city surrounded gateways archways yards buildings 
 laid lodges kinds machinery weaponry craftsmen king Dasharatha dwells 
 city"
Bala,5,11,"prosperous city Ayodhya muchly crammed eulogist panegyrist 
 highly splendorous bastion flag hundreds batteries canons 
 Dasharatha dwells"
Bala,5,12,"city Ayodhya accommodates groups danseuses theatrical personnel surrounded 
 gardens brakes mango trees wide fort wall like 
 cincture ornament"
Bala,5,13,"Ayodhya impassable trespassers invaders owing impassable 
 profound moats abounding horses camels likewise cows donkeys"
Bala,5,14,"throngs provincial kings come hither pay dues pervade city 
 verily lustrous residents countries traders 
 city Dasharatha dwells"
Bala,5,15,"Buildings ornamentally studded precious gems multi storied sky scrappers 
 adorned filled like Amaravati capital Indra"
Bala,5,16,"Amazing Ayodhya lay like game board calledaSTapadi 
 flocks beautiful women moving thereabout kinds precious gems heaped 
 seven storied buildings picturesque"
Bala,5,17,"housing dense place ground unutilized constructed 
 levelled lands rice grain plentiful drinking water tastes like sugar 
 cane juice"
Bala,5,18,"city sounding drumbeats great drums musical rhythm instruments 
 like mridanga cymbals string instruments like Veena etc earth uniquely 
 best city"
Bala,5,19,"Ayodhya like hovering space station attained sages ascesis edifices 
 planned teeming best people"
Bala,5,20,"skilful archers Ayodhya kill lone arrows 
 predecessor successor family fleeing listening 
 sound target sonic archery skills acumen handiness 
 benevolent"
Bala,5,21,"kill fattened roaring lions tigers wild boars sharp 
 weaponry arms"
Bala,5,22,"kind thousands archers speediest chariot warriors Ayodhya 
 filled King Dasharatha abode city"
Bala,5,23,"Ayodhya encompassed Vedic scholars worship ritual fire 
 enkindling kinds ritual fires continuously virtuous Brahman scholars Veda s 
 ancillary subjects great souls similitude great 
 saints like sages charitable donors abide truth"
Bala,6,1,"versed Veda s gatherer scholars riches 
			 forces foreseer great resplendent esteemed 
			 urbanites countrymen alike speeded chariot warrior 
			 emperors Ikshwaku kings performed Vedic rituals virtuous 
			 great controller saint like kingly sage renowned 
			 worlds mighty enemies eradicated 
			 friends conquered senses similar Indra 
			 Kubera earth wealth accumulations possessions 
			 king Dasharatha dwelling city Ayodhya protected world like 
			 Manu foremost protector mankind"
Bala,6,5,"truth abiding king adheres fold virtues rules vast 
			 kingdom best city Ayodhya Indra rules heaven capital 
			 Amaravati"
Bala,6,6,"best city Ayodhya exuberant virtuous ones scholars 
			 variously learned ones people satisfied riches 
			 greed advocate truthfulness"
Bala,6,7,"meagre accumulations great city householder 
			 unearned means cows horses monies cereals 
			 sustain family"
Bala,6,8,"lustful person miser cruel Ayodhya 
			 nondescripts non believers persons"
Bala,6,9,"ladies gentlemen city virtuous mind self controlled 
			 ones self satisfied like great saints conduct 
			 character blameless"
Bala,6,10,"city earrings headgear garlands 
			 enjoyer lowly things misses regular oil baths un creamed 
			 body sandalwood paste body cream un perfumed physique"
Bala,6,11,"famsihed uncharitable nature 
			 undecorated body ornaments like bracelets chest plates 
			 heart"
Bala,6,12,"sacrificial fires performing 
			 sacrificial rituals low living immoral bastard 
			 thief found Ayodhya"
Bala,6,13,"sense controlled scholarly Vedic Brahmans engaged rituals 
			 donate education Vedas students practice 
			 receiving donations principle minded"
Bala,6,14,"atheist liar learnt Veda s 
			 found jealous disabled unscholarly person"
Bala,6,15,"found Ayodhya knowledge ancillaries 
			 Veda s like astrology prosody grammar etc non performer prescribed 
			 rituals non donor thousands saddened heart turmoil 
			 mind agonised"
Bala,6,16,"gentleman lady wealth 
			 elegance devoid devotion king impossible 
			 suchlike person Ayodhya"
Bala,6,17,"caste system caste worshipper 
			 deities guests faithful illustrious valiant 
			 brave"
Bala,6,18,"Longevity people virtuosity truthfulness 
			 lived best city sons grandsons ladies"
Bala,6,19,"warrior class Kshatriya s turned Brahmans scholarly class 
			 intellectual religious support trading class Vaisya s follower 
			 Kshatriya s ruling class state economy dependent 
			 rulership fourth Shuudra s working class performing 
			 duties working castes"
